X,Y,Class,Bin_Code
147.1394539,-41.43629098,Both,C
147.139619,-41.43619298,Both,C
147.1327612,-41.43324355,Both,C
147.132637,-41.43275409,Both,C
147.1396148,-41.43607297,Both,C
147.1391463,-41.43644533,Both,C
147.1377384,-41.43576588,Both,C
147.1908449,-41.45374207,Butt Out Station,B
147.1606946,-41.46743526,Butt Out Station,B
147.1403004,-41.42520523,Butt Out Station,B
147.1402963,-41.42528183,Butt Out Station,B
147.1416233,-41.44756544,Butt Out Station,B
147.1260611,-41.39087808,Butt Out Station,B
147.1387519,-41.42847108,Butt Out Station,B
147.1398615,-41.42717235,Butt Out Station,B
147.1398386,-41.42703656,Butt Out Station,B
147.2172246,-41.250571,Butt Out Station,B
147.2174182,-41.25061959,Butt Out Station,B
147.2172973,-41.2504138,Butt Out Station,B
147.1497273,-41.40548209,Butt Out Station,B
147.1497351,-41.40543628,Butt Out Station,B
147.1213146,-41.44598029,Butt Out Station,B
147.1677706,-41.45675991,Butt Out Station,B
147.1326382,-41.43317651,Butt Out Station,B
147.132558,-41.43284463,Butt Out Station,B
147.1330627,-41.4330303,Butt Out Station,B
147.1332238,-41.43215674,Butt Out Station,B
147.1332124,-41.43209504,Butt Out Station,B
147.1325997,-41.43343373,Butt Out Station,B
147.1322999,-41.43379266,Butt Out Station,B
147.1316451,-41.43422484,Butt Out Station,B
147.1468032,-41.43426654,Butt Out Station,B
147.1469972,-41.43477152,Butt Out Station,B
147.1392578,-41.43999064,Butt Out Station,B
147.1392032,-41.43991301,Butt Out Station,B
147.1389822,-41.4371779,Butt Out Station,B
147.1362635,-41.43806404,Butt Out Station,B
147.1365583,-41.43547564,Butt Out Station,B
147.1366896,-41.4354882,Butt Out Station,B
147.1403196,-41.42520817,Butt Out Station,B
147.1177125,-41.44469292,Butt Out Station,B
147.1357067,-41.43605404,Butt Out Station,B
147.1409924,-41.43606597,Butt Out Station,B
147.1386614,-41.43510469,Butt Out Station,B
147.1411087,-41.43593199,Butt Out Station,B
147.1388681,-41.43642977,Butt Out Station,B
147.1389624,-41.43646004,Butt Out Station,B
147.1698245,-41.43582017,Dog Bag Dispensor,D
147.1471448,-41.43596982,Dog Bag Dispensor,D
147.1270431,-41.45286361,Dog Bag Dispensor,D
147.1265049,-41.46588324,Dog Bag Dispensor,D
147.1390983,-41.4304672,Dog Bag Dispensor,D
147.1311232,-41.44639365,Dog Bag Dispensor,D
147.1321527,-41.44595107,Dog Bag Dispensor,D
147.1703508,-41.43721568,Dog Bag Dispensor,D
147.1271849,-41.43727402,Dog Bag Dispensor,D
147.1364874,-41.44408895,Dog Bag Dispensor,D
147.1477198,-41.43947722,Dog Bag Dispensor,D
147.1661863,-41.47030167,Dog Bag Dispensor,D
147.1684316,-41.47319011,Dog Bag Dispensor,D
147.1379635,-41.41350082,Dog Bag Dispensor,D
147.1575324,-41.45086547,Dog Bag Dispensor,D
147.1310681,-41.43764984,Dog Bag Dispensor,D
147.1459669,-41.45116059,Dog Bag Dispensor,D
147.14701,-41.44006876,Dog Bag Dispensor,D
147.151584,-41.46525219,Dog Bag Dispensor,D
147.1592879,-41.4509814,Dog Bag Dispensor,D
147.1583941,-41.44978356,Dog Bag Dispensor,D
147.130901,-41.44481872,Dog Bag Dispensor,D
147.1312573,-41.4379802,Dog Bag Dispensor,D
147.1309618,-41.434966,Dog Bag Dispensor,D
147.1750904,-41.46582739,Dog Bag Dispensor,D
147.1295334,-41.44030651,Dog Bag Dispensor,D
147.1409732,-41.41583372,Dog Bag Dispensor,D
147.1456936,-41.43560171,Dog Bag Dispensor,D
147.1471448,-41.43596982,Dog Bag Dispensor,D
147.1456936,-41.43560171,Dog Bag Dispensor,D
147.1695141,-41.47849781,Dog Bag Dispensor,D
147.1389845,-41.41147795,Dog Bag Dispensor,D
147.1881534,-41.43120096,Dog Bag Dispensor,D
147.1235262,-41.43860111,Dog Bag Dispensor,D
147.3660156,-41.31095233,Dog Bag Dispensor,D
147.1914476,-41.46237378,Dog Bag Dispensor,D
147.1452494,-41.45102614,Dog Bag Dispensor,D
147.1521015,-41.45498643,Dog Bag Dispensor,D
147.1517912,-41.45559073,Dog Bag Dispensor,D
147.114563,-41.46391615,Dog Bag Dispensor,D
147.1397277,-41.42812518,Dog Bag Dispensor,D
147.1399475,-41.42723063,Dog Bag Dispensor,D
147.1408229,-41.42379515,Dog Bag Dispensor,D
147.1131485,-41.44021512,Dog Bag Dispensor,D
147.1911676,-41.46227951,Dog Bag Dispensor,D
147.1188911,-41.38254454,Dog Bag Dispensor,D
147.1300422,-41.37273391,Dog Bag Dispensor,D
147.1716344,-41.48497481,Dog Bag Dispensor,D
147.1153816,-41.38246321,Dog Bag Dispensor,D
147.1906907,-41.46187314,Dog Bag Dispensor,D
147.158524,-41.42514154,Dog Bag Dispensor,D
147.1778522,-41.46645994,Dog Bag Dispensor,D
147.179401,-41.46564847,Dog Bag Dispensor,D
147.159496,-41.4357566,Dog Bag Dispensor,D
147.156157,-41.46403437,Dog Bag Dispensor,D
147.1296437,-41.4351655,Dog Bag Dispensor,D
147.1320242,-41.43411836,Dog Bag Dispensor,D
147.1353723,-41.44349496,Dog Bag Dispensor,D
147.1362467,-41.44367179,Dog Bag Dispensor,D
147.1431423,-41.41079734,Dog Bag Dispensor,D
147.1427989,-41.41149099,Dog Bag Dispensor,D
147.1428566,-41.41239358,Dog Bag Dispensor,D
147.1383084,-41.40940312,Dog Bag Dispensor,D
147.1607399,-41.46560137,Dog Bag Dispensor,D
147.1637336,-41.46177353,Dog Bag Dispensor,D
147.1438342,-41.41678109,Dog Bag Dispensor,D
147.1393904,-41.41493933,Dog Bag Dispensor,D
147.146763,-41.43381335,Dog Bag Dispensor,D
147.1343436,-41.4127619,Dog Bag Dispensor,D
147.1410352,-41.41137367,Dog Bag Dispensor,D
147.131759,-41.46376783,Dog Bag Dispensor,D
147.1671133,-41.43434056,Dog Bag Dispensor,D
147.1713434,-41.46685737,Dog Bag Dispensor,D
147.1729019,-41.46823612,Dog Bag Dispensor,D
147.1600069,-41.46647418,Recycling Bin,R
147.1598214,-41.46676337,Recycling Bin,R
147.1331143,-41.40608219,Recycling Bin,R
147.1395535,-41.42881202,Recycling Bin,R
147.1397146,-41.4282008,Recycling Bin,R
147.1397228,-41.42820176,Recycling Bin,R
147.1601392,-41.44204167,Recycling Bin,R
147.1213123,-41.44597651,Recycling Bin,R
147.1224762,-41.44587678,Recycling Bin,R
147.1682731,-41.45637388,Recycling Bin,R
147.1312173,-41.43781157,Recycling Bin,R
147.1299636,-41.43519802,Recycling Bin,R
147.1392782,-41.40930169,Recycling Bin,R
147.1375146,-41.42741619,Recycling Bin,R
147.1375996,-41.43806123,Recycling Bin,R
147.1386203,-41.43748903,Recycling Bin,R
147.1447833,-41.43164811,Recycling Bin,R
147.129637,-41.43517445,Recycling Bin,R
147.1304051,-41.43470045,Recycling Bin,R
147.1294572,-41.44036293,Recycling Bin,R
147.1436764,-41.41441346,Recycling Bin,R
147.1441064,-41.41473189,Recycling Bin,R
147.1467006,-41.43885651,Recycling Bin,R
147.1575893,-41.44734288,Rubbish Bin,W
147.1911652,-41.46227832,Rubbish Bin,W
147.1920615,-41.46258905,Rubbish Bin,W
147.1931515,-41.46313528,Rubbish Bin,W
147.1910023,-41.45372212,Rubbish Bin,W
147.1911295,-41.45356373,Rubbish Bin,W
147.1912877,-41.45346952,Rubbish Bin,W
147.1913482,-41.4533999,Rubbish Bin,W
147.1914107,-41.45332985,Rubbish Bin,W
147.1914732,-41.45325843,Rubbish Bin,W
147.1938384,-41.45346364,Rubbish Bin,W
147.1938379,-41.45346565,Rubbish Bin,W
147.1912538,-41.45296476,Rubbish Bin,W
147.1911317,-41.4531278,Rubbish Bin,W
147.1910692,-41.45317885,Rubbish Bin,W
147.191067,-41.45318864,Rubbish Bin,W
147.1910247,-41.45324378,Rubbish Bin,W
147.1909973,-41.45328542,Rubbish Bin,W
147.1909925,-41.45342089,Rubbish Bin,W
147.1909745,-41.45342779,Rubbish Bin,W
147.1909658,-41.45343317,Rubbish Bin,W
147.1908702,-41.45337157,Rubbish Bin,W
147.1908637,-41.45367756,Rubbish Bin,W
147.1907179,-41.45381262,Rubbish Bin,W
147.1915477,-41.45259613,Rubbish Bin,W
147.1692793,-41.47701586,Rubbish Bin,W
147.1696236,-41.4768419,Rubbish Bin,W
147.1701281,-41.4766481,Rubbish Bin,W
147.1708607,-41.47735728,Rubbish Bin,W
147.170806,-41.4776693,Rubbish Bin,W
147.1706357,-41.4779958,Rubbish Bin,W
147.170622,-41.47801017,Rubbish Bin,W
147.1427738,-41.45106941,Rubbish Bin,W
147.1450482,-41.45447549,Rubbish Bin,W
147.1593866,-41.46552715,Rubbish Bin,W
147.1596083,-41.46593199,Rubbish Bin,W
147.160026,-41.46647262,Rubbish Bin,W
147.1599998,-41.46665183,Rubbish Bin,W
147.160002,-41.4666567,Rubbish Bin,W
147.1600652,-41.46677526,Rubbish Bin,W
147.1607184,-41.46800647,Rubbish Bin,W
147.1605188,-41.46804562,Rubbish Bin,W
147.1604206,-41.46778713,Rubbish Bin,W
147.1600421,-41.46713674,Rubbish Bin,W
147.1598377,-41.4667995,Rubbish Bin,W
147.1595566,-41.46617086,Rubbish Bin,W
147.1590448,-41.46526661,Rubbish Bin,W
147.1537411,-41.45890055,Rubbish Bin,W
147.142372,-41.45163758,Rubbish Bin,W
147.1692793,-41.47701586,Rubbish Bin,W
147.1696236,-41.4768419,Rubbish Bin,W
147.1701281,-41.4766481,Rubbish Bin,W
147.1708607,-41.47735728,Rubbish Bin,W
147.170806,-41.4776693,Rubbish Bin,W
147.1706357,-41.4779958,Rubbish Bin,W
147.170622,-41.47801017,Rubbish Bin,W
147.1125337,-41.45972243,Rubbish Bin,W
147.140501,-41.43101487,Rubbish Bin,W
147.1178819,-41.4453016,Rubbish Bin,W
147.1152013,-41.43689256,Rubbish Bin,W
147.1142213,-41.43718554,Rubbish Bin,W
147.145255,-41.45102159,Rubbish Bin,W
147.1457521,-41.44835588,Rubbish Bin,W
147.1415668,-41.44787958,Rubbish Bin,W
147.141612,-41.44755824,Rubbish Bin,W
147.1422722,-41.44736908,Rubbish Bin,W
147.1425185,-41.44595441,Rubbish Bin,W
147.1417969,-41.44427074,Rubbish Bin,W
147.1463799,-41.43889372,Rubbish Bin,W
147.1470555,-41.43901178,Rubbish Bin,W
147.1521001,-41.45499077,Rubbish Bin,W
147.151796,-41.4555883,Rubbish Bin,W
147.1359495,-41.43891041,Rubbish Bin,W
147.1197769,-41.44951576,Rubbish Bin,W
147.1179893,-41.45429068,Rubbish Bin,W
147.1193737,-41.45646333,Rubbish Bin,W
147.1180276,-41.4579156,Rubbish Bin,W
147.1115028,-41.45898377,Rubbish Bin,W
147.116754,-41.45897673,Rubbish Bin,W
147.114559,-41.46391615,Rubbish Bin,W
147.1303008,-41.46660509,Rubbish Bin,W
147.131244,-41.46826694,Rubbish Bin,W
147.134361,-41.47041177,Rubbish Bin,W
147.1422172,-41.46665373,Rubbish Bin,W
147.1600883,-41.4419322,Rubbish Bin,W
147.1602482,-41.44200076,Rubbish Bin,W
147.1602527,-41.44200699,Rubbish Bin,W
147.16064,-41.44136201,Rubbish Bin,W
147.1605832,-41.44098803,Rubbish Bin,W
147.1608397,-41.44142206,Rubbish Bin,W
147.1669379,-41.43862756,Rubbish Bin,W
147.1663708,-41.43967682,Rubbish Bin,W
147.165468,-41.44014724,Rubbish Bin,W
147.1624385,-41.44122667,Rubbish Bin,W
147.1388388,-41.43369588,Rubbish Bin,W
147.1517034,-41.45300318,Rubbish Bin,W
147.1517095,-41.45300028,Rubbish Bin,W
147.1517085,-41.45300684,Rubbish Bin,W
147.1519271,-41.4527972,Rubbish Bin,W
147.1519487,-41.45279787,Rubbish Bin,W
147.141022,-41.43117298,Rubbish Bin,W
147.1480382,-41.42790067,Rubbish Bin,W
147.1464393,-41.43040811,Rubbish Bin,W
147.1397893,-41.43202274,Rubbish Bin,W
147.138449,-41.43254754,Rubbish Bin,W
147.1341644,-41.43441471,Rubbish Bin,W
147.1362399,-41.43403429,Rubbish Bin,W
147.1354521,-41.42974365,Rubbish Bin,W
147.1351888,-41.42908833,Rubbish Bin,W
147.1350184,-41.42908143,Rubbish Bin,W
147.133085,-41.42292788,Rubbish Bin,W
147.1319431,-41.42093673,Rubbish Bin,W
147.1356159,-41.4211208,Rubbish Bin,W
147.1357757,-41.42160229,Rubbish Bin,W
147.1344766,-41.41843744,Rubbish Bin,W
147.1325789,-41.41177397,Rubbish Bin,W
147.1322105,-41.41048689,Rubbish Bin,W
147.1450329,-41.407698,Rubbish Bin,W
147.1339038,-41.40672582,Rubbish Bin,W
147.1332654,-41.40680984,Rubbish Bin,W
147.1333613,-41.40610791,Rubbish Bin,W
147.1267986,-41.39555049,Rubbish Bin,W
147.1266824,-41.39568312,Rubbish Bin,W
147.1260599,-41.39087343,Rubbish Bin,W
147.1264372,-41.38970304,Rubbish Bin,W
147.1265824,-41.38928905,Rubbish Bin,W
147.1264928,-41.3889527,Rubbish Bin,W
147.127364,-41.38688186,Rubbish Bin,W
147.1270268,-41.38859946,Rubbish Bin,W
147.1259133,-41.39186291,Rubbish Bin,W
147.1395534,-41.42885375,Rubbish Bin,W
147.1395565,-41.42880572,Rubbish Bin,W
147.1400321,-41.42882195,Rubbish Bin,W
147.1397284,-41.4281228,Rubbish Bin,W
147.1401486,-41.42784408,Rubbish Bin,W
147.1402059,-41.42740675,Rubbish Bin,W
147.1399499,-41.42722347,Rubbish Bin,W
147.1408284,-41.42379515,Rubbish Bin,W
147.1177102,-41.44473486,Rubbish Bin,W
147.1177415,-41.44475062,Rubbish Bin,W
147.1171918,-41.44453717,Rubbish Bin,W
147.1197032,-41.4352758,Rubbish Bin,W
147.1172714,-41.44504476,Rubbish Bin,W
147.1171574,-41.44475558,Rubbish Bin,W
147.1160948,-41.44357888,Rubbish Bin,W
147.1131508,-41.44021393,Rubbish Bin,W
147.1148386,-41.43707156,Rubbish Bin,W
147.1194637,-41.43529003,Rubbish Bin,W
147.1387053,-41.42854281,Rubbish Bin,W
147.139984,-41.42814624,Rubbish Bin,W
147.1399891,-41.42813723,Rubbish Bin,W
147.1397835,-41.42793955,Rubbish Bin,W
147.1397771,-41.42793341,Rubbish Bin,W
147.1399112,-41.42701471,Rubbish Bin,W
147.1399058,-41.4270068,Rubbish Bin,W
147.1536359,-41.39665738,Rubbish Bin,W
147.153714,-41.39661576,Rubbish Bin,W
147.1536711,-41.39665082,Rubbish Bin,W
147.2241582,-41.25078571,Rubbish Bin,W
147.2174413,-41.24967365,Rubbish Bin,W
147.217296,-41.24998456,Rubbish Bin,W
147.2169661,-41.25035002,Rubbish Bin,W
147.2170218,-41.25042238,Rubbish Bin,W
147.2165574,-41.25151212,Rubbish Bin,W
147.2161107,-41.25223802,Rubbish Bin,W
147.216013,-41.25230211,Rubbish Bin,W
147.2165741,-41.25178641,Rubbish Bin,W
147.2172402,-41.25059579,Rubbish Bin,W
147.2173239,-41.25031851,Rubbish Bin,W
147.2173684,-41.25019426,Rubbish Bin,W
147.2174137,-41.25007937,Rubbish Bin,W
147.2121515,-41.25652286,Rubbish Bin,W
147.1914467,-41.46237312,Rubbish Bin,W
147.1920615,-41.46258905,Rubbish Bin,W
147.1931466,-41.46273856,Rubbish Bin,W
147.1931515,-41.46313528,Rubbish Bin,W
147.1934913,-41.45384803,Rubbish Bin,W
147.1912148,-41.45348437,Rubbish Bin,W
147.1911317,-41.4531278,Rubbish Bin,W
147.1920615,-41.46258905,Rubbish Bin,W
147.1931591,-41.46281208,Rubbish Bin,W
147.1931515,-41.46313528,Rubbish Bin,W
147.1981106,-41.4599663,Rubbish Bin,W
147.1984253,-41.45990685,Rubbish Bin,W
147.1911317,-41.4531278,Rubbish Bin,W
147.1905622,-41.45369009,Rubbish Bin,W
147.1856932,-41.43428105,Rubbish Bin,W
147.1853347,-41.434585,Rubbish Bin,W
147.1850466,-41.43482819,Rubbish Bin,W
147.1191641,-41.38259964,Rubbish Bin,W
147.118889,-41.38254663,Rubbish Bin,W
147.1190695,-41.38932132,Rubbish Bin,W
147.1240449,-41.38298786,Rubbish Bin,W
147.1278859,-41.38425799,Rubbish Bin,W
147.1279876,-41.38417378,Rubbish Bin,W
147.1300414,-41.3727351,Rubbish Bin,W
147.1383557,-41.37472545,Rubbish Bin,W
147.1292436,-41.37726035,Rubbish Bin,W
147.129079,-41.37735212,Rubbish Bin,W
147.1273239,-41.38471376,Rubbish Bin,W
147.126255,-41.38874679,Rubbish Bin,W
147.1312364,-41.37397426,Rubbish Bin,W
147.1309216,-41.37450765,Rubbish Bin,W
147.130969,-41.37351565,Rubbish Bin,W
147.1307894,-41.37322525,Rubbish Bin,W
147.1307879,-41.37333341,Rubbish Bin,W
147.1307803,-41.37333806,Rubbish Bin,W
147.1307706,-41.37334411,Rubbish Bin,W
147.1307567,-41.37334497,Rubbish Bin,W
147.1782502,-41.46939752,Rubbish Bin,W
147.1773853,-41.46857361,Rubbish Bin,W
147.1750893,-41.46583837,Rubbish Bin,W
147.1771195,-41.45522668,Rubbish Bin,W
147.1765933,-41.45494467,Rubbish Bin,W
147.1759659,-41.45418647,Rubbish Bin,W
147.1763605,-41.45424546,Rubbish Bin,W
147.1750054,-41.45500048,Rubbish Bin,W
147.1648649,-41.46743775,Rubbish Bin,W
147.1650048,-41.46735814,Rubbish Bin,W
147.1651651,-41.46730528,Rubbish Bin,W
147.1653032,-41.46723374,Rubbish Bin,W
147.1654584,-41.46716693,Rubbish Bin,W
147.1677749,-41.48601218,Rubbish Bin,W
147.1676291,-41.48660474,Rubbish Bin,W
147.1716371,-41.48497354,Rubbish Bin,W
147.1675134,-41.48478112,Rubbish Bin,W
147.1665951,-41.47972922,Rubbish Bin,W
147.165245,-41.47696474,Rubbish Bin,W
147.1612752,-41.4694477,Rubbish Bin,W
147.1329998,-41.44108005,Rubbish Bin,W
147.1320164,-41.44031536,Rubbish Bin,W
147.1330876,-41.44040082,Rubbish Bin,W
147.1334733,-41.44022043,Rubbish Bin,W
147.1265848,-41.46591345,Rubbish Bin,W
147.1368746,-41.47041606,Rubbish Bin,W
147.1270073,-41.45284181,Rubbish Bin,W
147.130888,-41.44482556,Rubbish Bin,W
147.1418199,-41.43909867,Rubbish Bin,W
147.1409732,-41.43867237,Rubbish Bin,W
147.1414381,-41.43918163,Rubbish Bin,W
147.1515174,-41.43898852,Rubbish Bin,W
147.1462198,-41.43530013,Rubbish Bin,W
147.1459197,-41.43529355,Rubbish Bin,W
147.1456893,-41.43560497,Rubbish Bin,W
147.1573779,-41.43211678,Rubbish Bin,W
147.1568709,-41.43234298,Rubbish Bin,W
147.1651645,-41.43678742,Rubbish Bin,W
147.1651009,-41.43651791,Rubbish Bin,W
147.1646474,-41.43653243,Rubbish Bin,W
147.16775,-41.43746869,Rubbish Bin,W
147.167561,-41.43751851,Rubbish Bin,W
147.1614568,-41.46940387,Rubbish Bin,W
147.1673936,-41.48238539,Rubbish Bin,W
147.1603144,-41.46763133,Rubbish Bin,W
147.1153773,-41.38245964,Rubbish Bin,W
147.1915397,-41.46237045,Rubbish Bin,W
147.1906921,-41.46187457,Rubbish Bin,W
147.1373911,-41.45271824,Rubbish Bin,W
147.1492023,-41.40527076,Rubbish Bin,W
147.1496719,-41.40560549,Rubbish Bin,W
147.1501379,-41.40594766,Rubbish Bin,W
147.0729197,-41.33109966,Rubbish Bin,W
147.0038422,-41.31603954,Rubbish Bin,W
147.0817973,-41.33701437,Rubbish Bin,W
147.1218436,-41.44616645,Rubbish Bin,W
147.1217065,-41.44614897,Rubbish Bin,W
147.1213061,-41.44597066,Rubbish Bin,W
147.1211939,-41.44582455,Rubbish Bin,W
147.121007,-41.44587485,Rubbish Bin,W
147.1209145,-41.44629864,Rubbish Bin,W
147.1208183,-41.4462716,Rubbish Bin,W
147.1209654,-41.44618183,Rubbish Bin,W
147.1208616,-41.44647319,Rubbish Bin,W
147.1203879,-41.44624563,Rubbish Bin,W
147.1210584,-41.44643353,Rubbish Bin,W
147.1211814,-41.44624069,Rubbish Bin,W
147.1206816,-41.44570573,Rubbish Bin,W
147.1210524,-41.44587351,Rubbish Bin,W
147.1213594,-41.44616691,Rubbish Bin,W
147.1212159,-41.44570112,Rubbish Bin,W
147.1214456,-41.44557862,Rubbish Bin,W
147.1224586,-41.44587393,Rubbish Bin,W
147.1362603,-41.43630915,Rubbish Bin,W
147.1361907,-41.43606177,Rubbish Bin,W
147.1360267,-41.43596882,Rubbish Bin,W
147.1367329,-41.43612097,Rubbish Bin,W
147.1585235,-41.42513869,Rubbish Bin,W
147.1749879,-41.41832605,Rubbish Bin,W
147.1750718,-41.41846785,Rubbish Bin,W
147.175043,-41.41855198,Rubbish Bin,W
147.1748274,-41.41867561,Rubbish Bin,W
147.174945,-41.41881221,Rubbish Bin,W
147.17504,-41.41895974,Rubbish Bin,W
147.1751307,-41.41914386,Rubbish Bin,W
147.1745624,-41.41795807,Rubbish Bin,W
147.1749168,-41.41755259,Rubbish Bin,W
147.1758127,-41.4177373,Rubbish Bin,W
147.175946,-41.41756761,Rubbish Bin,W
147.1759631,-41.41795436,Rubbish Bin,W
147.1742948,-41.42539705,Rubbish Bin,W
147.1744411,-41.42578883,Rubbish Bin,W
147.1527081,-41.43361887,Rubbish Bin,W
147.1546364,-41.43470043,Rubbish Bin,W
147.1242172,-41.43817181,Rubbish Bin,W
147.1234922,-41.43857858,Rubbish Bin,W
147.1124366,-41.4325747,Rubbish Bin,W
147.1271834,-41.43726731,Rubbish Bin,W
147.1266251,-41.44008699,Rubbish Bin,W
147.12924,-41.44025648,Rubbish Bin,W
147.130994,-41.43928389,Rubbish Bin,W
147.1314303,-41.43974195,Rubbish Bin,W
147.1302994,-41.47280434,Rubbish Bin,W
147.1304884,-41.4729032,Rubbish Bin,W
147.1291887,-41.45071755,Rubbish Bin,W
147.1241078,-41.44442085,Rubbish Bin,W
147.1311924,-41.38670746,Rubbish Bin,W
147.130836,-41.38637181,Rubbish Bin,W
147.1289525,-41.38975465,Rubbish Bin,W
147.1299623,-41.38949447,Rubbish Bin,W
147.1300573,-41.38910009,Rubbish Bin,W
147.1196828,-41.39239225,Rubbish Bin,W
147.117112,-41.3905382,Rubbish Bin,W
147.173395,-41.45110788,Rubbish Bin,W
147.159857,-41.47075952,Rubbish Bin,W
147.1591654,-41.46906558,Rubbish Bin,W
147.1592854,-41.45098477,Rubbish Bin,W
147.1586435,-41.45107224,Rubbish Bin,W
147.158328,-41.45083197,Rubbish Bin,W
147.1575168,-41.45087253,Rubbish Bin,W
147.1583926,-41.44978245,Rubbish Bin,W
147.1389337,-41.44483124,Rubbish Bin,W
